sale_id,product_id,customer_id,sale_price,quantity,sale_date,total_revenue,sentiment_score,review_date,VIP_status
1001,P101,C_001,150.0,2,2023-01-15,300.0,4.5,2023-01-16,Non-VIP
1021,P101,C_056,250.5,5,2023-02-03,1252.5,4.6,2023-03-10,VIP
1030,P103,C_018,75.0,1,2023-10-02,75.0,1.4,2023-03-31,VIP
1046,P105,C_027,75.0,1,2023-03-02,75.0,1.2,2023-01-14,VIP
1055,P102,C_071,30.0,2,2023-01-13,60.0,4.1,2023-01-14,VIP
1056,P104,C_056,30.0,4,2023-03-01,120.0,2.6,2023-03-12,VIP
1066,P105,C_080,150.0,1,2023-02-10,150.0,1.5,2023-03-27,VIP
1073,P103,C_061,75.0,1,,75.0,2.8,2023-02-08,Non-VIP
1088,P101,C_056,75.0,1,2023-02-01,75.0,4.6,2023-03-10,VIP
1089,P101,C_056,120.0,4,2023-03-21,480.0,4.6,2023-03-10,VIP
1091,P102,C_053,30.0,1,2023-01-02,30.0,3.3,2023-03-29,Non-VIP
1103,P103,C_096,30.0,3,2023-02-21,90.0,4.1,2023-01-07,Non-VIP
1112,P104,C_089,150.0,4,2023-02-23,600.0,3.8,2023-01-03,VIP
1121,P102,C_046,30.0,1,2023-02-06,30.0,4.4,2023-01-06,VIP
1125,P104,C_064,150.0,2,,300.0,4.1,2023-02-26,VIP
1148,P103,C_089,120.0,4,2023-01-03,480.0,2.4,2023-02-08,VIP
1159,P103,C_069,250.5,3,2023-02-02,751.5,4.0,2023-02-18,VIP
1164,P105,C_027,250.5,1,2023-01-07,250.5,1.2,2023-01-14,VIP
1172,P103,C_086,30.0,3,2023-03-14,90.0,2.0,2023-03-02,VIP
1187,P102,C_071,120.0,1,,120.0,4.1,2023-01-14,VIP
1192,P101,C_051,250.5,3,,751.5,1.7000000000000002,2023-02-03,VIP
1205,P102,C_068,120.0,4,,480.0,2.8,2023-03-04,VIP
1206,P105,C_080,30.0,4,2023-02-11,120.0,1.5,2023-03-27,VIP
1207,P102,C_084,30.0,2,2023-02-22,60.0,2.2,2023-03-21,Non-VIP
1209,P102,C_074,150.0,2,2023-03-06,300.0,2.9,2023-02-26,Non-VIP
1219,P102,C_032,75.0,1,,75.0,2.8,2023-02-23,Non-VIP
1222,P101,C_070,250.5,1,2023-03-11,250.5,2.9,2023-01-02,VIP
1238,P103,C_079,150.0,4,2023-02-17,600.0,3.0,2023-02-11,VIP
1239,P103,C_085,30.0,1,2023-02-17,30.0,1.3,2023-03-22,Non-VIP
1240,P102,C_071,150.0,5,,750.0,4.1,2023-01-14,VIP
1253,P102,C_053,75.0,5,2023-01-01,375.0,3.3,2023-03-29,Non-VIP
1258,P104,C_057,120.0,5,,600.0,2.4,2023-02-11,VIP
1275,P104,C_039,150.0,3,,450.0,1.8,2023-01-05,Non-VIP
1282,P104,C_069,250.5,2,,501.0,1.3,2023-03-02,VIP
1296,P101,C_062,150.0,3,2023-01-22,450.0,1.6,2023-01-04,VIP
1301,P105,C_035,250.5,3,2023-03-24,751.5,3.5,2023-03-04,VIP
1304,P104,C_070,120.0,5,2023-02-27,600.0,1.1,2023-02-26,VIP
1307,P103,C_046,120.0,1,2023-02-15,120.0,1.7000000000000002,2023-01-18,VIP
1314,P102,C_016,75.0,1,,75.0,2.5,2023-02-07,Non-VIP
1331,P103,C_068,75.0,5,,375.0,4.6,2023-02-01,VIP
1338,P101,C_064,150.0,4,2023-06-03,600.0,2.3,2023-03-16,VIP
1339,P102,C_060,150.0,3,2023-01-29,450.0,3.7,2023-02-15,VIP
1347,P105,C_084,75.0,1,,75.0,1.4,2023-02-26,Non-VIP
1355,P103,C_080,250.5,1,2023-01-23,250.5,2.9,2023-01-30,VIP
1358,P101,C_051,250.5,5,2023-02-20,1252.5,1.7000000000000002,2023-02-03,VIP
1362,P103,C_034,30.0,1,2023-05-03,30.0,2.2,2023-03-24,Non-VIP
1369,P104,C_057,120.0,1,2023-03-28,120.0,2.4,2023-02-11,VIP
1402,P101,C_051,75.0,4,,300.0,1.7000000000000002,2023-02-03,VIP
1404,P104,C_089,30.0,2,,60.0,3.8,2023-01-03,VIP
1408,P103,C_017,150.0,3,2023-03-05,450.0,1.5,2023-01-22,VIP
1411,P101,C_062,150.0,5,2023-03-13,750.0,1.6,2023-01-04,VIP
1422,P101,C_064,120.0,3,2023-03-30,360.0,2.3,2023-03-16,VIP
1423,P101,C_087,30.0,3,2023-03-25,90.0,1.2,2023-03-24,VIP
1433,P103,C_089,30.0,2,2023-01-02,60.0,2.4,2023-02-08,VIP
1452,P105,C_070,250.5,2,,501.0,3.0,2023-02-11,VIP
1458,P102,C_068,250.5,3,2023-02-08,751.5,2.8,2023-03-04,VIP
1468,P102,C_084,120.0,2,,240.0,2.2,2023-03-21,Non-VIP
1472,P101,C_082,30.0,1,2023-02-09,30.0,3.2,2023-01-16,Non-VIP
1475,P105,C_018,150.0,4,2023-05-01,600.0,3.8,2023-01-27,VIP
1477,P103,C_059,30.0,4,2023-02-18,120.0,1.5,2023-01-17,Non-VIP
1482,P102,C_046,75.0,1,2023-01-15,75.0,4.4,2023-01-06,VIP
1483,P104,C_089,150.0,2,2023-01-27,300.0,3.8,2023-01-03,VIP
1484,P101,C_087,150.0,4,2023-03-18,600.0,1.2,2023-03-24,VIP
1495,P101,C_082,30.0,4,2023-03-13,120.0,3.2,2023-01-16,Non-VIP
1496,P102,C_060,75.0,3,,225.0,3.7,2023-02-15,VIP
1501,P101,C_038,75.0,1,2023-01-16,75.0,1.9,2023-03-13,Non-VIP
1510,P102,C_074,120.0,1,,120.0,2.9,2023-02-26,Non-VIP
1519,P103,C_079,250.5,1,2023-03-06,250.5,3.0,2023-02-11,VIP
1522,P103,C_061,150.0,3,,450.0,2.8,2023-02-08,Non-VIP
1534,P103,C_017,150.0,4,2023-01-30,600.0,1.5,2023-01-22,VIP
1540,P102,C_060,250.5,3,2023-01-14,751.5,3.7,2023-02-15,VIP
1557,P104,C_057,150.0,5,2023-01-26,750.0,2.4,2023-02-11,VIP
1560,P104,C_097,30.0,2,,60.0,4.3,2023-03-19,Non-VIP
1564,P103,C_079,120.0,1,2023-01-11,120.0,3.0,2023-02-11,VIP
1568,P103,C_039,120.0,1,2023-03-08,120.0,4.6,2023-03-26,Non-VIP
1572,P104,C_021,150.0,1,,150.0,4.2,2023-03-20,VIP
1583,P103,C_036,30.0,1,2023-02-03,30.0,3.8,2023-03-09,Non-VIP
1587,P105,C_086,150.0,1,,150.0,4.2,2023-02-28,VIP
1593,P105,C_017,250.5,1,2023-03-04,250.5,2.5,2023-03-02,VIP
1594,P102,C_060,120.0,5,,600.0,3.7,2023-02-15,VIP
1597,P103,C_015,250.5,2,2023-10-03,501.0,4.5,2023-01-13,Non-VIP
1600,P103,C_080,150.0,1,2023-02-26,150.0,2.9,2023-01-30,VIP
1602,P103,C_015,30.0,3,2023-02-14,90.0,4.5,2023-01-13,Non-VIP
1617,P105,C_027,120.0,4,2023-02-13,480.0,1.2,2023-01-14,VIP
1630,P105,C_083,150.0,5,2023-03-25,750.0,2.0,2023-03-11,Non-VIP
1642,P102,C_071,150.0,1,2023-03-17,150.0,4.1,2023-01-14,VIP
1645,P104,C_062,150.0,1,2023-03-10,150.0,4.4,2023-03-10,VIP
1657,P104,C_069,120.0,3,2023-08-01,360.0,1.3,2023-03-02,VIP
1661,P104,C_057,30.0,2,2023-01-23,60.0,2.4,2023-02-11,VIP
1666,P103,C_052,150.0,5,2023-02-28,750.0,4.4,2023-03-03,Non-VIP
